,id,rank,relevant,text
218,219,3,1,очень бесят не проходимые уровни Уважаемые разработчики Зачем делать уровень такой сложности что даже после раза да еще и с бустерами его не реально пройти
219,220,1,1,скачал немного поиграл игра зависла удалил
220,221,3,1,игра постоянно вылетает
221,222,3,1,куда делись фиолетовые уровни те за которые дают звезды почитала отзывы думала это я играть не умею оказывается не одна я уровень несколько дней пройти пытаюсь жесть
222,223,5,1,время убивает отлично
223,224,1,0,Я не поняла Почему в рекламе другое дело а в игре другое
224,225,5,0,Очень понравилась и не л какая игра интересная
225,226,5,0,время убить можно
226,227,1,1,а что случилось после обновления ни цветов ни времени за прохождение уровней уровни стали нереально сложными игра стала очень неинтересной испоганили
227,228,1,0,Вс хуже некуда ужас а не игра
228,229,1,1,Игра стала часто вылетать особенно бесит когда она закрывается после успешно пройденного уровня и приходится повторять прохождение снова
229,230,5,1,я искренне желаю разработчикам что бы их жизнь так же справедливо складывалась как набеги в этой игре что бы стоя на краю моста он спрашивал за что ты так со мной жизнь и тут ему голос сверху за набеги Кстати эти самые разработчики ваши отзывы не читают им ваще пофигу что вы тут пишете мне вообще не зайти в игру после обновления что за хрень разрабы
230,231,1,1,УЖАС УЖАС И ЕЩЕ РАЗ УЖАС Жадность вас убью т Раньше было интересно играть развиваться нормально прилетало с сундуков войны титана и после просмотра видео Но сейчас это кошмар Одна трава и ресурсы рандом просто ни о чем Очень сильно начинает злить Борила третий месяц не могу переродить надо накидки за месяца ни одной КАРЛ не попало Перестали попадаться жетоны ЭПИЧЕСКОГО героя с Атлантиды и призывов приходит звезды ИЩЕМ ВСЕМ АЛИ ДРУГУЮ ИГРУ
231,232,1,0,НАРОД СМОТРИТЕ ИГРА НА ГРАНИ КРАХА НЕ ДАДИМ ИМ ВЫЖИТЬ ЧЕРТЯМ НА ЗЕМЛЕ НЕТ МЕСТА ПУСТЬ ОТПРАВЛЯЮТСЯ В АД УЖЕ НАЗОЙЛИВО ПРЕДЛАГАЮТ ПРИГЛАСИТЬ ДРУГА В ИГРУ ЯКОБЫ ЗА ВОЗНАГРАЖДЕНИЕ НЕ ВЕДИТЕСЬ НА ПРАВОКАЦИЮ ЭТО РАЗВОД ОНИ ПРОСТО КОНЧЕННЫЕ ТВАРИ
232,233,1,1,Мдаааа капец прямо за год игры пятизвездочный герой с лагерей одни трешки валятся играть стало не интересно ресов много а перерождать не кого на моем лвл один это как так то за донат тоже одни трехи Раньше был азарт играть теперь нет его пора искать другую игру хотя есть вариант похожий стоит начать там такой жадности уверена не будет Друзья хотят попробовать поиграть в нее но думаю стоит отговорить их от этой игры смысла нет время в пустую только тратить
233,234,2,1,Уважаемые разработчики Вы слышали что такое баланс У вас в игре его абсолютно нет команда силой выносит команду Почему в набегах нет ничьей как то это страно когда у тебя и у противника нет персонажей на поле а тебе проигрыш как то это не честно Игра затягиет Но донат пугающий без него шанс на нормального персонажа скуден Можно было бы добавить вызов на дуэль соклана или френда и может какой нибудь обмен ресами Но донат все равно пугающий да и бонусы слабые очень
234,235,3,1,доброго времени суток вы вот пишите что предметы для перерождения героев должны быть редкими но они у вас не то что редкие а мега редкие нужные вещи ждешь до полугода огромный дисбаланс по этим предметам к примеру изящные перчатки расходуются на Равне с компасами так компасов штук а перчаток месяц ноль не выпадают открываешь сундук монстров в надежде получить хороший Лут а там мясо железо и пару кристаллов и все и так который раз игра неплохая НО много
235,236,1,1,игра хорошая но есть много минусов первый минус это донат без него тут делать не чего второе сейчас в последнее время у многих началась такая ситуация что у многих команд от двух до трех героев с восстановлением здоровья в основе кома их практически не убиваемая какие ты отряды не были прокачивать и даже у тебя герои звездные в третьих ситуация была такая война альянса играем итог мы как оборонительная сторона нас атакуют в следствии у нас на коме герои живы у них нет есть скрин
236,237,4,1,задолбали вы все ныть Донат Донат Если не нравится не играй Разберитесь с правилами включите мозги и играйте как люди да есть шанс в тех же набегах проиграть более слабой команде но есть шанс и выиграть более сильного игрока Как по мне вполне приличная игра а Донат должен быть если вы хотите качественную и интересную игру которая постоянно обновляется За бесплатно в этом мире ничего хорошего не получишь Привыкали к холяве
237,238,2,1,обновления каждую неделю изменений практически нету в набегах проду шь в два раза слабейшим долгое время собираеш самоцветы в итоге за них только тр шек дают могли бы за самоцветы давать что нибудь путное и ещ о последнем обновлении написано новый уровень цитадели добавьте новые здания в империю где этот уровень новый и новые здания
238,239,1,0,Чисто донат без него развитие печально Постоянно выпадают х звездочных герои Разработчики вы реально хотите чтобы у людей интерес пропадал квашей игре Разработчики вы реагируете на комментарии или вам пофиг
239,240,1,0,Ребята незакидывайте сюда деньги разводят в наглую а именно засипят тройками прич м самыми плохими которые годятся только на корм Подумайте сами почему так часто выпадают приксы туки дафы и т д да потому что тут даже на тройки стоит процент не то что на пят рки
240,241,1,0,Игра так себе попытка разработчиков выдать е за бестселлер разбивается вдребезги об совершенно не сбалансированый рандом где даже крупный донат не гарантирует получения нужных героев и предметов без которых к сожалению после определ нного уровня не возможно играть так что дамы и господа не ведитесь на донат иначе вас тупо будут разводить по стандартной схеме лохотрона
241,242,1,1,игра на построена на везении и Донате звуковые эффекты ужасные турнир вообще полный дебилизм побед из возможных на меня ни разу не напали и я ПОВЛИЯТЬ НА СВОЙ ПОЛОЖЕНИЕ ИГРОК НЕ МОЖЕТ за что вы платите деньги гейм дизайнеру нет нормального Лута нет звезд
242,243,5,1,Я бы добавил функцию чтобы можно было меняться обмениваться героями и предметами с более низкими допустим игроками или что то подобное теми же предметами для перерождения ресурсами хотя бы с друзьями и соальянсниками А так не плохо вс
243,244,1,0,Игра полная ерунда Сначала затягивает и все понятно Потом логика заканчивается и все основывается на вложении денег героев не получить и не улучшить Нужны кристаллы а это деньги Логика пропадает Особенно в битвах турнирах Удаляю это гав о Добавляю Ничего не изменилось и после обновления Только деньги и никакой справедливости и логики
244,245,2,1,невозможно зайти в игру шанс получить уникальных героев события или героев месяца равен нулю донатить российскому игроку накладно поэтому ставлю вам за это те же три звезды которые вы так любите кидать игрокам на призыве большего не заслуживаете немного поразмыслив ставлю две звез
245,246,4,1,С последним обновлением ничего не изменилось никаких новых зданий и уровня цитадели Герои изредка дают но почему то все красные даже два Когана такой прикол с рандомом тут одного качать долго
246,247,1,1,делаю призыв сказочных героев за кристаллов дали штук героев и одного из них не ни одного сказочного героя разработчики вы конченные уроды я понимаю что вы рубите бабло но хоть какой то баланс должен быть
247,248,1,1,поломанная механика подбора противника в войне главный минус игры также урезали вероятности выпадения наград в игре гринд ради гринда и надежды на чего то приличного письма и отзывы разработчики давно уже не читают в качестве соц. сети игра хороша но как сама игра ужасна и выглядит как жадное казино
248,249,5,1,классная игра но предметы для продвижения очень уж странно падают за месяца одних шт. выпало а других ни одного обмен внутри альянса был бы очень кстати или переделка из одних в другие надеюсь в алхимической лаборатории которую нам обещают эта функция появится
249,250,1,1,уважаемые разработчики ответе на такой вопрос играю больше лет и за все это время ни выпал ни один фиолетовый герой причем корма это фиолетовые герои и что я только не делал чтоб собрать моноцвет на войну сколько еще ждать от вас милости
250,251,1,0,добрый день я уже четвертый день не могу зайти в игру загрузка игры идет а потом пишет ошибку или вообще вылетает что дальше делить как запустить игру
251,252,1,1,Разработчики что за хрень Я купила акционный набор Сила дракона деньги с карты списались но сам набор не получен и отображается в игре как не купленный А при повторной попытке его купить пишется что этот контент у меня есть но фактически его нет
252,253,2,1,а что с рефералкой пригласил друга через вк у него уже лвл ни он ни я ничего не получили и с атлантидой призыва героя лвл которые у меня уже есть причем обычные не атлантидовские Короче спасибо за игру
253,254,5,1,Да уж просто нет слов то как испортилась игра просто ужас Жадность губит скоро окончательно погубит Полтора года назад играла была на уровень потом телефон разбился ладно купила загрузила и болт мне в руки вместо сохранения уровня Сейчас на уровне игроки тихий ужас слабые очень стали хоть ты в них и вкладываешь от них толку почти нет бить титана вообще не интересно стало так как быстро умираешь Героя переодела до самого макс а он бессилен просто жесть Если тогда вкладывала сейчас нет
254,255,1,1,После обновления игра три дня не работает И телефон по характеристикам хороший а не заходит Денег уже вложено в игру очень даже прилично будет очень весело если обновление так и не доведут до ума Напрасная трата денег Хотела взять пяти звездного героя купила самоцветы и все зря Призвала больше героев так не то что звезд не дали на звезды только одного дали остальное вся полная шушера И это уже не первый раз так А в целом игра очень хорошая
255,256,1,1,Согласна со всеми отзывами по поводу жадности разработчиков и неправильности призывов а так же неравных поединков команда слабее на тысячу очков в легкую выносит более сильную это как называется призыв события делаешь тратишь кучу кристаллов дают вообще не относящуюся к призыву Приску на кой фиг она мне сдалась если я специально ждала призыва однозначно одна звезда Ваша жадность вас погубит
256,257,1,1,Покупая за алмазы призывов события получить одного героя х звездочного и героев х звездочных это как по вашему нормально
257,258,1,1,Сын второй раз слил сбросил игру и второй раз по моей ссылке дошел до десятого уровня И я не понимаю где мой второй строитель где мой Причем с худшим результатом чем в первый раз И если он сейчас изза этого решит не играть дальше мне не чего будет ему сказать Разрабы обманьщики
258,259,3,1,игра становится с каждый обновлением все хуже и хуже прокачивать Героев труднее и труднее играть становится не интересно нет мотивации ее проходить разработчики становятся жадные и неадекватные за что то более менее приличные платить реальные деньги да и судя по отдыхаю это не гарантирует приличных подарков или Героев раньше игра была поадекватнее
259,260,1,1,Разработчики я не могу войти в игру экран загрузки и вс пробовал переустановить игру не помогло исправьте пожалуйста интересно это только у меня так или у всех и было ли у кого то еще так если да то отпишитесь как исправили Пока ставлю одну звезду
260,261,1,1,эй разрабы слабо прочитать отзывы или это для красоты в набегах есть несправедливый косяч к у соперника ответный удар активирован и последним героем я его добиваю и по идее ничья но за счет этого ответного удара я проиграл хотя мой герой первым добил вражеского несправедливо Далее какого хрена в турнире набегов без траты самоцветов нихрена нельзя сделать пока не продолжишь за самоцветов будут практичеки проигрыши Разрабы слишком кривой рандом уже МИНУС
261,262,2,1,Уважаемые разработчики после обновления пропали все т плые напитка а их было штук и самых сильных играка как это у вас так выходит что после каждого обновления что то да пропадает у меня не знаю как у остальных Давайте решайте что нибудь а так балла из Игра хорошая ну я уже не могу этого терпеть
262,263,1,1,Вы там за обновлялись совсем Наделали какой то гадости Теперь я никому не могу отомстить потому что у них ни та версия приложения И на пол экран а как будто доска весит Очень плохая версия Поменяйте вс пожалуйста Игра была хороша до последнего обновления Я обиделась
263,264,1,0,Доброго времени суток создатели игры и те кто е обновляет Очень разочарован рандомом при призывах героев почему кому то на уровне выпадают пятизвездочные герои а кому то на и выше выпадают только трех и четырех звездочные да еще и одинаковые постоянно кто то бабос вкидывает в игру и ему вс равно говногерои падают а кто то невкидывает и ему пятизвездочные валятся что за несправедливость удаляю через пару дней только из за вашей жадности и неуважения к игрокам
264,265,5,1,Ал Разработчики после обновления обещали новые здания Иии Обновился Как было вс на м уровне так и осталось Уже месяца жду когда хоть что нибудь изменится И по поводу строительства в казармах легендарных героев Пол года дают только и все повтор Я понимаю рандом но НЕ НАСТОЛЬКО ЖЕ
265,266,3,1,заточено на Донат да и тот не тащит выпадения норм героя а потом его качать пол года реально пол года красиво интересно но без Доната на Овер к в месяц будешь сидеть в самом низу
266,267,2,1,Разработчики вы вообще в курсе что у вас происходит с героями сравните б Могильщика и Зара вы вообще чем думаете когда делаете таких героев Про Егора я вообще молчу про набор маны вообще говорит не хочу у вас нет баланса ни между героями ни в наборе маны ставлю оценку ДВА
267,268,5,0,Уважаемые разработчики Перекос невыносимый Просто кошмар Игра интересная давно так не загонялся НО Скоро лопнет терпела Ради Бога Вас прошу Ну устраните его Невозможно Психану удалю
268,269,1,1,Игра опять скатилась как и многие другие раньше было больше трофеев за титана войну набеги сейчас такое чувство что какая то жадность у разрабов раньше можно было играть и ничего не покупая а сейчас и так не найти и не купить пожалуйста сделайте как было а то уже становится не интересно играть т к даже игроков не переродить и что за прикол сколько не пытаюсь получить эпических или легендарных то ничего не выходит одни сделайте больше доступным их
269,270,1,1,Полная ерунда Игра создага для выкачивания денег Так что Господа хотите быть лох ми качайте эту ерунду Играть не реально всегда идет подбор противника на порядок сильнее это делаетя для того что вы покупали новых героев Рандом награды полная ерунда Вообщем разработчики жмоты и те еще
270,271,1,0,Здравствуйте уважаемые разработчики игры С каждым обновлением игры становиться вс хуже и хуже Может укажите параметры поддерживающих устройств на которых можно играть или Вам просто нужен Донат
271,272,1,1,игра затягивает но не корректно работает система бонусов за приглашения по ссылке достигли уровня а мне так ничего и не досталось обман
272,273,1,1,игра уже давно не мб весит с каждой обновой дроп все хуже и хуже касаемо титанов войн испытаний да и вообще что за идиотизм с титана шлак на стрелы даже не падает пример я о компасах и прочих погремушках ауууу разрабы уничтожаете кормушку свою
273,274,2,1,Разрабы респект Мало того что ваша игра блокирует работу датчика освещенности так ко всему прочему при разрыве соединения выкидывает из боя когда ты уже практически завалил босса и при этом списывает мировую энергию без каких либо компенсаций потраченных ресурсов Отлично продумано
274,275,3,1,Уже примерно неделю не могу нормально играть Игра не грузится если вдруг загрузилась то вылетает при набегах Может зависнуть во врем войны и тогда я получаю очков Это очень очень плохо Надо что то делать т к играть стало невозможно
275,276,1,0,Разработчики вы вообще отзывы читаете Исправьте ошибку про которую я ранее писал
276,277,4,1,Игра нравится но очень низкий шанс выпадения и героев все подталкивает к Доната хотя если бы всем все так просто давалось то не было бы ценности в этих
277,278,1,1,игра доя выкачки денег Покупаешь не покупаешь итог один мало Рэндом при получении наград предметов и героев Изготовлении героев на уровне это четкое выпадание героев Большинство играют т к начали уже играть Играть можно только если покупаешь по акции и именно с пометкой Гарантированно
278,279,3,1,Здравствуйте У меня играет в эту игру мама папа и я Но нас неустраевает что нам нужны например синее зеленые отряды А ВЫ ДАЕТЕ НАМ КАКОЙТО ФИГ ФИОЛЕТОВЫЕ ИЛИ ВООБЩЕ НЕДАЕТЕ У меня мама играла утром уходила в по набегам А ТЕПЕРЬ В КОМАНДА У НИХ СЛАБАЯ А У МАМЫ СИЛЬНАЯ Исправте это пожалуйста
279,280,1,1,Народ НЕ скачивайте ЭТО На первых порах игра классная но если Вы не закидываете в нее реальные деньги с каждым дн м она в наглую нагибает вас все сильнее и сильнее Сейчас вообще анекдот вышел у одного из героев перестала мана набираться Вообще А буквально перед боем реклама усилителя шла Листайте мимо очень советую
280,281,1,1,это когда тыпротивника слабее тебя на не можешь убить потому что комбинаций у тебя никаких нету или выносишь противника сильнее тебя на и при этом за тебя все делает рандом плюс реклама бесящая купите то купите с ну я хз такое себе если честно
281,282,3,1,Приложение нравится минус в том что с русской рулеткой все плохо Я так предполагаю админы вынуждают покупать камни Потому как сколько раз накапливала на призыв и хороших героев ни то что иногда их вообще не дают
282,283,1,0,Игра с каждым обновлением становится хуже не советую не рекомендую можно втянуться на интересе а потом только выливать деньги не получая ничего взамен психологическая зависимость и негативные эмоции разочарование от жадности и не адекватности разработчиков
283,284,1,1,прошел Атлантиду на легком уровне получил награду и после этого не могу зайти в миссии как вы не можете нормальные обновы выпускать всегда Глюки у вас столько денег хапаете может стоит на них норм сотрудников нанять
284,285,3,1,Снизил оценку за не продуманный призыв игроков Сам изготовил тр. х зв дачного героя и тут же покупаю за кристаллов которые собирал хрен знает сколько точно такого же Это сильно напрягает И это не однократно Разработчики подумайте этот вопрос
285,286,1,1,добрый вечер говорю как есть потратил на донат больше долоров и все в пустую ни одного героя одни тройки больше я донатить не буду друзья мои не догатили и получили как минимум героя хотя они использывали намного меньше монет и кристалов чем я
286,287,1,1,у вас кроме героев с и еще есть или вам за это надо денюшку занести для новичков вообще нет шансов развиваться ждать прокачку зданий по часов это просто ужас призывы кроме хлама ничего не дают дня не могу пройти один уровень так как у меня слабая команда даже звезды не выпадают зато за деньги все можно дисбаланс в игре большой в набегах показывает игроков в раз сильнее меня
287,288,1,1,Отвратительное приложение выкинуло из второго боя с ошибкой соединения с сервером хотя с моей стороны вс в порядке сервера ни о ч м да и восстановить соединение приложение так и не смогло спустя несколько попыток и перезагрузки всего что только можно в общем не советую
288,289,1,1,Изза того что я не могу обновить игру Я немогу мстить Тем игрокам которые меня могут атаковать и грабить А я нет Изза того что у игрока который меня грабил стоит другая версия приложения Вы не можите его атаковать Бред да и только Откровенное выкачивание бабла В наглую прич м
289,290,1,1,Вчера в турнире после проигрыша вкинул кристаллы чтобы продолжить тут какой то сбой я выигрываю а в зач т ставится проигрыш и так три раза Результат пониженный рейтинг у меня пропали КУПЛЕННЫЕ кристаллы
290,291,3,1,Почему когда ты выполняешь квест на тебя нападает онлайн игрок и игра вылетает хотя так не должно или сделайте когда игрок в сети на него нельзя напасть Я думаю что это будет самое простое решение этой непростой критической ошибки
291,292,1,0,Игра которая потрепит тебе нервы и удивит неожиданно в одном флаконе а вообще жадность и наглость разработчиков не знает границ я конечно понимаю что проект должен развиваться на реальные деньги но даже влив реала не на принесет тебе героя ссылаясь на рандом разрабы тупо набивают кошельки а мне бы хотелось чтобы я мог за свои кровные хотя бы кристаллы взять путевого героя а не хню
292,293,1,1,с каждой обновой все хуже Войны слетают в игру не зайти Разрабы говорю что войны слетают Или вы не видете
293,294,1,0,без Доната нормальных героев не заработаешь а и с Донатом получаешь Это игра для души или для расстройства нервов Тайное видение зависает и не открывается до суток
294,295,1,1,Невозможно играть без вклада денег х звездные герои вообще не выпадают а с х звездочными героями которое прокачаны по максимуму проходить игру дальше вообще невозможно Игрой не доволен буду удалять
295,296,1,1,Поиграла и удалила игру Игра должна приносить азарт удовольствие а не сплошные разочарования Игра действует на нервы Мне вот не охота вступать в альянс я играю когда есть свободное время А для одиночек игра не предназначена
296,297,1,0,Жадность Урезали рекламу теперь вообще нет желания е смотреть и что то от не получать потому что получать нечего Воспитание не позволяет Вас назвать тем кем я считаю
297,298,1,1,Я ОЧЕНЬ расстроен обманом Со стороны разработчиков Где обещанные новые здания где новый уровень цитадели ГДЕ
298,299,1,1,Жадность погубит Вас Играю пол года Может чуть больше Не я молчу про призыв Атлантиды а про героев месяца так вообще п ц или делаете что то или ваша игрушка превратится в хлам
